system:index,mean,.geo
226,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.257218292405845,-9.628664197191412]}"
227,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.43064526718909,-9.591997730353395]}"
228,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.296090253154496,-9.598302010107087]}"
229,0.55,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.34277357908508,-9.625697565414562]}"
230,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.43056778223512,-9.573795514193648]}"
231,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18627775209959,-9.580071064630726]}"
232,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.271144840490955,-9.624000266056997]}"
233,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.242508391381264,-9.590750781481386]}"
234,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38906475886684,-9.57137842478053]}"
235,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.263393330389114,-9.65710965983217]}"
236,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.378114131097284,-9.643815571351507]}"
237,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40114615801874,-9.63988651970635]}"
238,0.96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.42236295436339,-9.622764950458512]}"
239,0.78,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.424928695177684,-9.685443185963992]}"
240,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.2959540924249,-9.596469022404625]}"
241,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.16631089340939,-9.642732600809511]}"
242,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.4138827527096,-9.592492976086865]}"
243,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3595822852135,-9.606858459389464]}"
244,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.1650294964116,-9.605382085353686]}"
245,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3501650564326,-9.689479942429763]}"
246,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.401686475183254,-9.627464441152053]}"
247,0.95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.332075134106795,-9.652281636822842]}"
248,0.54,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.173078321191646,-9.671262490917242]}"
249,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.30708746623876,-9.668791139811203]}"
250,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.30771784981466,-9.605003896768396]}"
251,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38890672754445,-9.633501489988506]}"
252,0.41,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.421009739787216,-9.630500610365354]}"
